Abbreviation	Definition	Label	Reference Link	owl:sameAs
A.D.	Anno Domini	"Anno Domini"@en	<http://dbpedia.org/resource/Anno_Domini>	<http://el.dbpedia.org/resource/Μ.Χ.>,<http://it.dbpedia.org/resource/Anno_Domini>,<http://pt.dbpedia.org/resource/Anno_Domini>,<http://cs.dbpedia.org/resource/Anno_Domini>,<http://de.dbpedia.org/resource/Anno_Domini>,<http://fr.dbpedia.org/resource/Anno_Domini>,<http://ru.dbpedia.org/resource/От_Рождества_Христова>,<http://es.dbpedia.org/resource/Anno_Domini>,<http://ja.dbpedia.org/resource/西暦>,<http://pl.dbpedia.org/resource/Naszej_ery>,<http://ko.dbpedia.org/resource/서력기원>,<http://nl.dbpedia.org/resource/Anno_Domini>,<http://eu.dbpedia.org/resource/Anno_Domini>,<http://zh.dbpedia.org/resource/西元>,<http://ar.dbpedia.org/resource/أنو_دوميني>,<http://az.dbpedia.org/resource/Miladi_tarix>,<http://be.dbpedia.org/resource/Ад_Нараджэння_Хрыстова>,<http://bg.dbpedia.org/resource/След_Христа>,<http://ca.dbpedia.org/resource/Anno_Domini>,<http://cy.dbpedia.org/resource/Oed_Crist>,<http://da.dbpedia.org/resource/Anno_Domini>,<http://eo.dbpedia.org/resource/A._D.>,<http://et.dbpedia.org/resource/PKr>,<http://fa.dbpedia.org/resource/پس_از_میلاد>,<http://fi.dbpedia.org/resource/Jälkeen_Kristuksen>,<http://ga.dbpedia.org/resource/Anno_Domini>,<http://gd.dbpedia.org/resource/AC>,<http://gl.dbpedia.org/resource/AEC>,<http://he.dbpedia.org/resource/ספירת_הנוצרים>,<http://hi.dbpedia.org/resource/ईसवी>,<http://hy.dbpedia.org/resource/Քրիստոսից_հետո>,<http://id.dbpedia.org/resource/Anno_Domini>,<http://is.dbpedia.org/resource/Anno_Domini>,<http://ku.dbpedia.org/resource/Piştî_zayînê>,<http://la.dbpedia.org/resource/Anno_Domini>,<http://mk.dbpedia.org/resource/Наша_ера>,<http://ml.dbpedia.org/resource/ക്രിസ്ത്വബ്ദം>,<http://ms.dbpedia.org/resource/Tahun_Masihi>,<http://my.dbpedia.org/resource/အေဒီ>,<http://nn.dbpedia.org/resource/Kristi_fødsel>,<http://no.dbpedia.org/resource/Kristi_fødsel>,<http://oc.dbpedia.org/resource/Anno_Domini>,<http://ro.dbpedia.org/resource/E.n.>,<http://sco.dbpedia.org/resource/AD>,<http://sh.dbpedia.org/resource/Anno_Domini>,<http://simple.dbpedia.org/resource/Anno_Domini>,<http://sk.dbpedia.org/resource/Po_Kristovi>,<http://sl.dbpedia.org/resource/Anno_Domini>,<http://sv.dbpedia.org/resource/Efter_Kristus>,<http://sw.dbpedia.org/resource/Baada_ya_Kristo>,<http://ta.dbpedia.org/resource/அனோ_டொமினி>,<http://th.dbpedia.org/resource/คริสต์ศักราช>,<http://tr.dbpedia.org/resource/Anno_Domini>,<http://uk.dbpedia.org/resource/Anno_Domini>,<http://vi.dbpedia.org/resource/Công_Nguyên>,<http://mt.dbpedia.org/resource/WK>,<http://zh_yue.dbpedia.org/resource/公元>
A.I.	Ai (Bible)	"Ai (Bible)"@en	<http://dbpedia.org/resource/Ai_(Bible)>	<http://fr.dbpedia.org/resource/Aï_(Bible)>,<http://pl.dbpedia.org/resource/Aj_(miasto_biblijne)>,<http://pt.dbpedia.org/resource/Ai_(Bíblia)>,<http://de.dbpedia.org/resource/Ai_(Historischer_Stadtstaat)>,<http://es.dbpedia.org/resource/Ai_(Biblia)>,<http://ja.dbpedia.org/resource/アイ_(聖書)>,<http://nl.dbpedia.org/resource/Ai_(stad)>,<http://fa.dbpedia.org/resource/عای>,<http://he.dbpedia.org/resource/העי>,<http://id.dbpedia.org/resource/Ai_(tempat)>,<http://ta.dbpedia.org/resource/ஆயி>
A.I.	Appreciative inquiry	"Appreciative inquiry"@en	<http://dbpedia.org/resource/Appreciative_inquiry>	<http://de.dbpedia.org/resource/Appreciative_Inquiry>,<http://es.dbpedia.org/resource/Indagación_apreciativa>,<http://fr.dbpedia.org/resource/Interrogation_appréciative>
A.I.	Emperor Ai of Han	"Emperor Ai of Han"@en	<http://dbpedia.org/resource/Emperor_Ai_of_Han>	<http://ja.dbpedia.org/resource/哀帝_(漢)>,<http://pt.dbpedia.org/resource/Aidi_de_Han>,<http://ko.dbpedia.org/resource/전한_애제>,<http://it.dbpedia.org/resource/Ai_Di>,<http://de.dbpedia.org/resource/Han_Aidi>,<http://fr.dbpedia.org/resource/Han_Aidi>,<http://pl.dbpedia.org/resource/Han_Aidi>,<http://zh.dbpedia.org/resource/汉哀帝>,<http://hr.dbpedia.org/resource/Ai_Di_(kineski_car)>,<http://id.dbpedia.org/resource/Kaisar_Ai_dari_Han>,<http://no.dbpedia.org/resource/Han_Aidi>,<http://sh.dbpedia.org/resource/Car_Ai_od_Hana>,<http://simple.dbpedia.org/resource/Emperor_Ai_of_Han>,<http://th.dbpedia.org/resource/จักรพรรดิฮั่นไอ>,<http://uk.dbpedia.org/resource/Лю_Сінь_(Хань)>,<http://vi.dbpedia.org/resource/Hán_Ai_Đế>,<http://zh_classical.dbpedia.org/resource/漢孝哀皇帝>
A.I.	.ai	".ai"@en	<http://dbpedia.org/resource/.ai>	<http://it.dbpedia.org/resource/.ai>,<http://ja.dbpedia.org/resource/.ai>,<http://ko.dbpedia.org/resource/.ai>,<http://pt.dbpedia.org/resource/.ai>,<http://cs.dbpedia.org/resource/.ai>,<http://el.dbpedia.org/resource/.ai>,<http://pl.dbpedia.org/resource/.ai>,<http://es.dbpedia.org/resource/.ai>,<http://ru.dbpedia.org/resource/.ai>,<http://de.dbpedia.org/resource/.ai>,<http://fr.dbpedia.org/resource/.ai>,<http://nl.dbpedia.org/resource/.ai>,<http://eu.dbpedia.org/resource/.ai>,<http://zh.dbpedia.org/resource/.ai>,<http://af.dbpedia.org/resource/.ai>,<http://ar.dbpedia.org/resource/.ai>,<http://arz.dbpedia.org/resource/.ai>,<http://ast.dbpedia.org/resource/.ai>,<http://az.dbpedia.org/resource/.ai>,<http://be.dbpedia.org/resource/.ai>,<http://bg.dbpedia.org/resource/.ai>,<http://bn.dbpedia.org/resource/.এআই>,<http://bs.dbpedia.org/resource/.ai>,<http://ca.dbpedia.org/resource/.ai>,<http://cy.dbpedia.org/resource/.ai>,<http://da.dbpedia.org/resource/.ai>,<http://eo.dbpedia.org/resource/.ai>,<http://et.dbpedia.org/resource/.ai>,<http://fa.dbpedia.org/resource/.ai>,<http://fi.dbpedia.org/resource/.ai>,<http://gl.dbpedia.org/resource/.ai>,<http://hr.dbpedia.org/resource/.ai>,<http://hu.dbpedia.org/resource/.ai>,<http://hy.dbpedia.org/resource/.ai>,<http://id.dbpedia.org/resource/.ai>,<http://is.dbpedia.org/resource/.ai>,<http://ka.dbpedia.org/resource/.ai>,<http://lb.dbpedia.org/resource/.ai>,<http://lv.dbpedia.org/resource/.ai>,<http://mk.dbpedia.org/resource/.ai>,<http://ms.dbpedia.org/resource/.ai>,<http://mzn.dbpedia.org/resource/.ai>,<http://nds.dbpedia.org/resource/.ai>,<http://no.dbpedia.org/resource/.ai>,<http://oc.dbpedia.org/resource/.ai>,<http://ro.dbpedia.org/resource/.ai>,<http://sh.dbpedia.org/resource/.ai>,<http://sk.dbpedia.org/resource/.ai>,<http://sq.dbpedia.org/resource/.ai>,<http://sr.dbpedia.org/resource/.ai>,<http://tg.dbpedia.org/resource/.ai>,<http://th.dbpedia.org/resource/.ai>,<http://tl.dbpedia.org/resource/.ai>,<http://tr.dbpedia.org/resource/.ai>,<http://tt.dbpedia.org/resource/.ai>,<http://uk.dbpedia.org/resource/.ai>,<http://uz.dbpedia.org/resource/.ai>,<http://vi.dbpedia.org/resource/.ai>,<http://war.dbpedia.org/resource/.ai>,<http://yo.dbpedia.org/resource/.ai>,<http://cv.dbpedia.org/resource/.ai>,<http://su.dbpedia.org/resource/.ai>,<http://be_x_old.dbpedia.org/resource/.ai>,<http://ce.dbpedia.org/resource/.ai>,<http://crh.dbpedia.org/resource/.ai>,<http://diq.dbpedia.org/resource/.ai>,<http://fiu_vro.dbpedia.org/resource/.ai>,<http://krc.dbpedia.org/resource/.ai>,<http://sah.dbpedia.org/resource/.ai>,<http://tk.dbpedia.org/resource/.ai>,<http://xal.dbpedia.org/resource/.ai>,<http://zh_yue.dbpedia.org/resource/.ai>
A.I.	Adobe Illustrator	"Adobe Illustrator"@en	<http://dbpedia.org/resource/Adobe_Illustrator>	<http://cs.dbpedia.org/resource/Adobe_Illustrator>,<http://pl.dbpedia.org/resource/Adobe_Illustrator>,<http://de.dbpedia.org/resource/Adobe_Illustrator>,<http://fr.dbpedia.org/resource/Adobe_Illustrator>,<http://ko.dbpedia.org/resource/어도비_일러스트레이터>,<http://it.dbpedia.org/resource/Adobe_Illustrator>,<http://ja.dbpedia.org/resource/Adobe_Illustrator>,<http://pt.dbpedia.org/resource/Adobe_Illustrator>,<http://es.dbpedia.org/resource/Adobe_Illustrator>,<http://ru.dbpedia.org/resource/Adobe_Illustrator>,<http://nl.dbpedia.org/resource/Adobe_Illustrator>,<http://zh.dbpedia.org/resource/Adobe_Illustrator>,<http://ar.dbpedia.org/resource/أدوبي_إليستريتور>,<http://bg.dbpedia.org/resource/Adobe_Illustrator>,<http://ca.dbpedia.org/resource/Adobe_Illustrator>,<http://da.dbpedia.org/resource/Adobe_Illustrator>,<http://et.dbpedia.org/resource/Adobe_Illustrator>,<http://fa.dbpedia.org/resource/ادوبی_ایلاستریتر>,<http://fi.dbpedia.org/resource/Adobe_Illustrator>,<http://he.dbpedia.org/resource/אדובי_אילוסטרייטור>,<http://hi.dbpedia.org/resource/अडॉबी_इलस्ट्रेटर>,<http://hr.dbpedia.org/resource/Adobe_Illustrator>,<http://id.dbpedia.org/resource/Adobe_Illustrator>,<http://jv.dbpedia.org/resource/Adobe_Illustrator>,<http://lb.dbpedia.org/resource/Adobe_Illustrator>,<http://mr.dbpedia.org/resource/अ‍ॅडोबे_इलस्ट्रेटर>,<http://no.dbpedia.org/resource/Adobe_Illustrator>,<http://ro.dbpedia.org/resource/Adobe_Illustrator>,<http://simple.dbpedia.org/resource/Adobe_Illustrator>,<http://sl.dbpedia.org/resource/Adobe_Illustrator>,<http://sv.dbpedia.org/resource/Adobe_Illustrator>,<http://th.dbpedia.org/resource/อะโดบี_อิลลัสเตรเตอร์>,<http://tr.dbpedia.org/resource/Adobe_Illustrator>,<http://uk.dbpedia.org/resource/Adobe_Illustrator>
A.I.	Amnesty International	"Amnesty International"@en	<http://dbpedia.org/resource/Amnesty_International>	<http://cs.dbpedia.org/resource/Amnesty_International>,<http://el.dbpedia.org/resource/Διεθνής_Αμνηστία>,<http://es.dbpedia.org/resource/Amnistía_Internacional>,<http://ko.dbpedia.org/resource/국제사면위원회>,<http://pl.dbpedia.org/resource/Amnesty_International>,<http://it.dbpedia.org/resource/Amnesty_International>,<http://ja.dbpedia.org/resource/アムネスティ・インターナショナル>,<http://pt.dbpedia.org/resource/Anistia_Internacional>,<http://ru.dbpedia.org/resource/Международная_амнистия>,<http://de.dbpedia.org/resource/Amnesty_International>,<http://fr.dbpedia.org/resource/Amnesty_International>,<http://nl.dbpedia.org/resource/Amnesty_International>,<http://eu.dbpedia.org/resource/Amnesty_International>,<http://zh.dbpedia.org/resource/國際特赦組織>,<http://af.dbpedia.org/resource/Amnestie_Internasionaal>,<http://ar.dbpedia.org/resource/منظمة_العفو_الدولية>,<http://az.dbpedia.org/resource/Beynəlxalq_Əfv>,<http://be.dbpedia.org/resource/Міжнародная_Амністыя>,<http://bg.dbpedia.org/resource/Амнести_Интернешънъл>,<http://bn.dbpedia.org/resource/অ্যামনেস্টি_ইন্টারন্যাশনাল>,<http://bs.dbpedia.org/resource/Amnesty_International>,<http://ca.dbpedia.org/resource/Amnistia_Internacional>,<http://cy.dbpedia.org/resource/Amnest_Rhyngwladol>,<http://da.dbpedia.org/resource/Amnesty_International>,<http://eo.dbpedia.org/resource/Amnestio_Internacia>,<http://et.dbpedia.org/resource/Amnesty_International>,<http://fa.dbpedia.org/resource/عفو_بین‌الملل>,<http://fi.dbpedia.org/resource/Amnesty_International>,<http://fo.dbpedia.org/resource/Amnesty_International>,<http://fy.dbpedia.org/resource/Amnesty_International>,<http://gl.dbpedia.org/resource/Amnistía_Internacional>,<http://he.dbpedia.org/resource/אמנסטי_אינטרנשיונל>,<http://hi.dbpedia.org/resource/एमनेस्टी_इण्टरनेशनल>,<http://hr.dbpedia.org/resource/Amnesty_International>,<http://hu.dbpedia.org/resource/Amnesty_International>,<http://id.dbpedia.org/resource/Amnesty_International>,<http://io.dbpedia.org/resource/Internaciona_Amnestio>,<http://is.dbpedia.org/resource/Amnesty_International>,<http://ka.dbpedia.org/resource/საერთაშორისო_ამნისტია>,<http://kn.dbpedia.org/resource/ಅಮ್ನೆಸ್ಟಿ_ಇಂಟರ್_ನ್ಯಾಶನಲ್_(ರಾಜದ್ರೋಹದ_ಕ್ಷಮಾಪಣೆಯ_ಅಂತಾರಾಷ್ಟ್ರೀಯ_ಸಂಸ್ಥೆ)>,<http://ku.dbpedia.org/resource/Rêxistina_Efûyê_ya_Navneteweyî>,<http://la.dbpedia.org/resource/Amnestia_Internationalis>,<http://lt.dbpedia.org/resource/Amnesty_International>,<http://lv.dbpedia.org/resource/Amnesty_International>,<http://ml.dbpedia.org/resource/ആംനസ്റ്റി_ഇന്റർനാഷണൽ>,<http://ms.dbpedia.org/resource/Amnesty_International>,<http://my.dbpedia.org/resource/အပြည်ပြည်ဆိုင်ရာ_လွတ်ငြိမ်းချမ်းသာရေး_အဖွဲ့>,<http://nn.dbpedia.org/resource/Amnesty_International>,<http://no.dbpedia.org/resource/Amnesty_International>,<http://oc.dbpedia.org/resource/Amnistia_Internacionala>,<http://pms.dbpedia.org/resource/Amnesty_International>,<http://pnb.dbpedia.org/resource/ایمنیسٹی>,<http://ro.dbpedia.org/resource/Amnesty_International>,<http://sh.dbpedia.org/resource/Amnesty_International>,<http://simple.dbpedia.org/resource/Amnesty_International>,<http://sk.dbpedia.org/resource/Amnesty_International>,<http://sl.dbpedia.org/resource/Amnesty_International>,<http://sr.dbpedia.org/resource/Амнести_интернашонал>,<http://sv.dbpedia.org/resource/Amnesty_International>,<http://ta.dbpedia.org/resource/பன்னாட்டு_மன்னிப்பு_அவை>,<http://th.dbpedia.org/resource/องค์การนิรโทษกรรมสากล>,<http://tr.dbpedia.org/resource/Uluslararası_Af_Örgütü>,<http://tt.dbpedia.org/resource/Amnesty_International>,<http://uk.dbpedia.org/resource/Міжнародна_амністія>,<http://ur.dbpedia.org/resource/تنظیم_العفو_بین_الاقوامی>,<http://vi.dbpedia.org/resource/Ân_xá_Quốc_tế>,<http://yo.dbpedia.org/resource/Amnesty_International>,<http://be_x_old.dbpedia.org/resource/Міжнародная_амністыя>,<http://ckb.dbpedia.org/resource/لێبوردنی_نێونەتەوەیی>,<http://pa.dbpedia.org/resource/ਐਮਨੈਸਟੀ_ਇੰਟਰਨੈਸ਼ਨਲ>
A.I.	Artificial insemination	"Artificial insemination"@en	<http://dbpedia.org/resource/Artificial_insemination>	<http://es.dbpedia.org/resource/Inseminación_artificial>,<http://ru.dbpedia.org/resource/Искусственное_осеменение>,<http://ja.dbpedia.org/resource/人工授精>,<http://pl.dbpedia.org/resource/Sztuczne_unasiennianie>,<http://pt.dbpedia.org/resource/Inseminação_artificial>,<http://cs.dbpedia.org/resource/Inseminace>,<http://de.dbpedia.org/resource/Insemination>,<http://ko.dbpedia.org/resource/인공수정>,<http://fr.dbpedia.org/resource/Insémination_artificielle>,<http://it.dbpedia.org/resource/Fecondazione_assistita>,<http://nl.dbpedia.org/resource/Kunstmatige_inseminatie>,<http://eu.dbpedia.org/resource/Hazi-jartze>,<http://it.dbpedia.org/resource/Fecondazione_artificiale>,<http://zh.dbpedia.org/resource/人工授精>,<http://ar.dbpedia.org/resource/تلقيح_أصطناعي>,<http://ca.dbpedia.org/resource/Inseminació_artificial>,<http://da.dbpedia.org/resource/Kunstig_befrugtning>,<http://fi.dbpedia.org/resource/Keinosiemennys>,<http://fy.dbpedia.org/resource/Keunstmjittige_ynseminaasje>,<http://he.dbpedia.org/resource/הזרעה_מלאכותית>,<http://hi.dbpedia.org/resource/इंट्रा_यूटेराइन_इनसेमिनेशन>,<http://hr.dbpedia.org/resource/Inseminacija>,<http://hu.dbpedia.org/resource/Mesterséges_megtermékenyítés>,<http://id.dbpedia.org/resource/Inseminasi_buatan>,<http://is.dbpedia.org/resource/Tæknifrjóvgun>,<http://lt.dbpedia.org/resource/Dirbtinis_apvaisinimas>,<http://ms.dbpedia.org/resource/Permanian_beradas>,<http://no.dbpedia.org/resource/Kunstig_befruktning>,<http://scn.dbpedia.org/resource/Ficunnazzioni_artificiali>,<http://sh.dbpedia.org/resource/Inseminacija>,<http://simple.dbpedia.org/resource/Artificial_insemination>,<http://sl.dbpedia.org/resource/Umetna_oploditev>,<http://sr.dbpedia.org/resource/Инсеминација>,<http://sv.dbpedia.org/resource/Insemination>,<http://ta.dbpedia.org/resource/செயற்கை_விந்தூட்டல்>,<http://uk.dbpedia.org/resource/Штучне_осіменіння>
A.I.	Artificial intelligence	"Artificial intelligence"@en	<http://dbpedia.org/resource/Artificial_intelligence>	<http://cs.dbpedia.org/resource/Umělá_inteligence>,<http://es.dbpedia.org/resource/Inteligencia_artificial>,<http://pt.dbpedia.org/resource/Inteligência_artificial>,<http://ru.dbpedia.org/resource/Искусственный_интеллект>,<http://el.dbpedia.org/resource/Τεχνητή_νοημοσύνη>,<http://fr.dbpedia.org/resource/Intelligence_artificielle>,<http://pl.dbpedia.org/resource/Sztuczna_inteligencja>,<http://it.dbpedia.org/resource/Intelligenza_artificiale>,<http://ja.dbpedia.org/resource/人工知能>,<http://de.dbpedia.org/resource/Künstliche_Intelligenz>,<http://ko.dbpedia.org/resource/인공지능>,<http://nl.dbpedia.org/resource/Kunstmatige_intelligentie>,<http://eu.dbpedia.org/resource/Adimen_artifizial>,<http://zh.dbpedia.org/resource/人工智能>,<http://an.dbpedia.org/resource/Intelichencia_artificial>,<http://ar.dbpedia.org/resource/ذكاء_اصطناعي>,<http://arz.dbpedia.org/resource/ذكاء_صناعى>,<http://az.dbpedia.org/resource/Süni_intellekt>,<http://be.dbpedia.org/resource/Штучны_інтэлект>,<http://bg.dbpedia.org/resource/Изкуствен_интелект>,<http://bn.dbpedia.org/resource/কৃত্রিম_বুদ্ধিমত্তা>,<http://bs.dbpedia.org/resource/Vještačka_inteligencija>,<http://ca.dbpedia.org/resource/Intel·ligència_artificial>,<http://da.dbpedia.org/resource/Kunstig_intelligens>,<http://eo.dbpedia.org/resource/Artefarita_inteligenteco>,<http://et.dbpedia.org/resource/Tehisintellekt>,<http://fa.dbpedia.org/resource/هوش_مصنوعی>,<http://fi.dbpedia.org/resource/Tekoäly>,<http://gan.dbpedia.org/resource/人工智能>,<http://gl.dbpedia.org/resource/Intelixencia_artificial>,<http://he.dbpedia.org/resource/בינה_מלאכותית>,<http://hi.dbpedia.org/resource/कृत्रिम_बुद्धिमत्ता>,<http://hr.dbpedia.org/resource/Umjetna_inteligencija>,<http://hu.dbpedia.org/resource/Mesterséges_intelligencia>,<http://ia.dbpedia.org/resource/Intelligentia_artificial>,<http://id.dbpedia.org/resource/Kecerdasan_buatan>,<http://io.dbpedia.org/resource/Artifical_inteligenteso>,<http://is.dbpedia.org/resource/Gervigreind>,<http://jv.dbpedia.org/resource/Kacerdhasan_gawéyan>,<http://ka.dbpedia.org/resource/ხელოვნური_ინტელექტი>,<http://kk.dbpedia.org/resource/Жасанды_интеллект>,<http://kn.dbpedia.org/resource/ಕೃತಕ_ಬುದ್ಧಿಮತ್ತೆ>,<http://ky.dbpedia.org/resource/Жасалма_интеллект>,<http://la.dbpedia.org/resource/Intellegentia_artificialis>,<http://lt.dbpedia.org/resource/Dirbtinis_intelektas>,<http://lv.dbpedia.org/resource/Mākslīgais_intelekts>,<http://ml.dbpedia.org/resource/കൃത്രിമബുദ്ധി>,<http://mr.dbpedia.org/resource/कृत्रिम_बुद्धिमत्ता>,<http://ms.dbpedia.org/resource/Kecerdasan_buatan>,<http://my.dbpedia.org/resource/ဉာဏ်တု>,<http://nn.dbpedia.org/resource/Kunstig_intelligens>,<http://no.dbpedia.org/resource/Kunstig_intelligens>,<http://oc.dbpedia.org/resource/Intelligéncia_artificiala>,<http://pnb.dbpedia.org/resource/بنائی_گئی_ذہانت>,<http://ro.dbpedia.org/resource/Inteligență_artificială>,<http://rue.dbpedia.org/resource/Умела_інтеліґенція>,<http://sh.dbpedia.org/resource/Umjetna_inteligencija>,<http://simple.dbpedia.org/resource/Artificial_intelligence>,<http://sk.dbpedia.org/resource/Umelá_inteligencia>,<http://sl.dbpedia.org/resource/Umetna_inteligenca>,<http://sq.dbpedia.org/resource/Inteligjenca_artificiale>,<http://sr.dbpedia.org/resource/Вјештачка_интелигенција>,<http://sv.dbpedia.org/resource/Artificiell_intelligens>,<http://ta.dbpedia.org/resource/செயற்கை_அறிவுத்திறன்>,<http://te.dbpedia.org/resource/కృత్రిమ_మేధస్సు>,<http://th.dbpedia.org/resource/ปัญญาประดิษฐ์>,<http://tl.dbpedia.org/resource/Intelihensiyang_artipisyal>,<http://tr.dbpedia.org/resource/Yapay_zekâ>,<http://tt.dbpedia.org/resource/Ясалма_интеллект>,<http://uk.dbpedia.org/resource/Штучний_інтелект>,<http://ur.dbpedia.org/resource/مصنوعی_ذہانت>,<http://vi.dbpedia.org/resource/Trí_tuệ_nhân_tạo>,<http://war.dbpedia.org/resource/Intelihensya_artipisyal>,<http://yi.dbpedia.org/resource/קינסטלעכע_אינטעליגענץ>,<http://ba.dbpedia.org/resource/Яһалма_интеллект>,<http://bat_smg.dbpedia.org/resource/Dėrbtėns_intelekts>,<http://be_x_old.dbpedia.org/resource/Штучны_інтэлект>,<http://ckb.dbpedia.org/resource/ژیریی_دەستکرد>,<http://fiu_vro.dbpedia.org/resource/Kunstmõistus>,<http://fur.dbpedia.org/resource/Inteligjence_artificiâl>,<http://jbo.dbpedia.org/resource/rutni_menli>,<http://ksh.dbpedia.org/resource/Artificial_Intelligence>,<http://mg.dbpedia.org/resource/Haranita-tsaina_voatrolombelona>,<http://mn.dbpedia.org/resource/Хиймэл_оюун_ухаан>,<http://new.dbpedia.org/resource/आर्टिफिसियल_इन्टेलिजेन्स>,<http://sah.dbpedia.org/resource/Оҥоһуу_интеллект>,<http://tk.dbpedia.org/resource/Ýasama_akyl>,<http://vec.dbpedia.org/resource/Inteligensa_artificial>,<http://zh_min_nan.dbpedia.org/resource/Jîn-kang_tì-lêng>,<http://zh_yue.dbpedia.org/resource/人工智能>
A.I.	Ai Qing	"Ai Qing"@en	<http://dbpedia.org/resource/Ai_Qing>	<http://it.dbpedia.org/resource/Ai_Qing>,<http://ru.dbpedia.org/resource/Ай_Цин>,<http://de.dbpedia.org/resource/Ai_Qing>,<http://fr.dbpedia.org/resource/Ai_Qing>,<http://cs.dbpedia.org/resource/Aj_Čching>,<http://es.dbpedia.org/resource/Ai_Qing>,<http://pl.dbpedia.org/resource/Ai_Qing>,<http://nl.dbpedia.org/resource/Ai_Qing>,<http://zh.dbpedia.org/resource/艾青>,<http://mr.dbpedia.org/resource/आय_छिंग>,<http://no.dbpedia.org/resource/Ai_Qing>,<http://sv.dbpedia.org/resource/Ai_Qing>,<http://ta.dbpedia.org/resource/அய்_ஜிங்>,<http://tr.dbpedia.org/resource/Ai_Qing>,<http://zh_yue.dbpedia.org/resource/艾青>
