Entry example	Full entry name	Example tested	IsException	Usage Frequency	Note
%5C.	Slashdot				http://dbpedia.org/resource/%5C.
&/C.	Et cetera				http://dbpedia.org/resource/&/C.
&c.	Et cetera				http://dbpedia.org/resource/&c.
&ca.	Et cetera				http://dbpedia.org/resource/&ca.
(hed)P.E.	Hed PE				http://dbpedia.org/resource/(hed)P.E.
(hed)p.e.	Hed PE				http://dbpedia.org/resource/(hed)p.e.
..BreedGreedBreed..	Breedgreedbreed				http://dbpedia.org/resource/..BreedGreedBreed..
.41-100.	.41 Rimfire Cartridge				http://dbpedia.org/resource/.41-100.
.999..	0.999...				http://dbpedia.org/resource/.999..
.EQ.	Relational operator				http://dbpedia.org/resource/.EQ.
.GE.	Relational operator				http://dbpedia.org/resource/.GE.
.GT.	Relational operator				http://dbpedia.org/resource/.GT.
.H.E.C.T.O.R.	List of Amalgam Comics characters				http://dbpedia.org/resource/.H.E.C.T.O.R.
.LE.	Relational operator				http://dbpedia.org/resource/.LE.
.LT.	Relational operator				http://dbpedia.org/resource/.LT.
.M.U.G.E.N.	M.U.G.E.N				http://dbpedia.org/resource/.M.U.G.E.N.
.Moneen.	Moneen				http://dbpedia.org/resource/.Moneen.
.NE.	Relational operator				http://dbpedia.org/resource/.NE.
.S.P.A.C.E.	Bucky O'Hare				http://dbpedia.org/resource/.S.P.A.C.E.
.baxter.	Baxter (punk band)				http://dbpedia.org/resource/.baxter.
.execute.	All Hope Is Gone				http://dbpedia.org/resource/.execute.
.i.e.	List of Latin phrases (I)				http://dbpedia.org/resource/.i.e.
.remote.	Remote (manga)				http://dbpedia.org/resource/.remote.
.·.	Therefore sign				http://dbpedia.org/resource/.·.
0.	0 (number)				http://dbpedia.org/resource/0_(number)
0.	0 (year)				http://dbpedia.org/resource/0_(year)
0.999.	0.999...				http://dbpedia.org/resource/0.999.
0.999..	0.999...				http://dbpedia.org/resource/0.999..
1+2+3+4+.	1 + 2 + 3 + 4 + ⋯				http://dbpedia.org/resource/1+2+3+4+.
1+2+3+4+..	1 + 2 + 3 + 4 + ⋯				http://dbpedia.org/resource/1+2+3+4+..
1+2+3+4.	1 + 2 + 3 + 4 + ⋯				http://dbpedia.org/resource/1+2+3+4.
1+2+3+4..	1 + 2 + 3 + 4 + ⋯				http://dbpedia.org/resource/1+2+3+4..
1+2+4+8+.	1 − 2 + 4 − 8 + ⋯				http://dbpedia.org/resource/1+2+4+8+.
1+2+4+8+..	1 − 2 + 4 − 8 + ⋯				http://dbpedia.org/resource/1+2+4+8+..
1+2+4+8.	1 − 2 + 4 − 8 + ⋯				http://dbpedia.org/resource/1+2+4+8.
1+2+4+8..	1 − 2 + 4 − 8 + ⋯				http://dbpedia.org/resource/1+2+4+8..
1984.	1984				http://dbpedia.org/resource/1984.
1Ch.	Books of Chronicles				http://dbpedia.org/resource/1Ch.
1Cr.	First Epistle to the Corinthians				http://dbpedia.org/resource/1Cr.
1Jo.	First Epistle of John				http://dbpedia.org/resource/1Jo.
1Ki.	Books of Kings				http://dbpedia.org/resource/1Ki.
1Pe.	First Epistle of Peter				http://dbpedia.org/resource/1Pe.
1Sa.	Books of Samuel				http://dbpedia.org/resource/1Sa.
1Th.	First Epistle to the Thessalonians				http://dbpedia.org/resource/1Th.
1Ti.	First Epistle to Timothy				http://dbpedia.org/resource/1Ti.
2000A.D.	2000 AD				http://dbpedia.org/resource/2000A.D.
2Ch.	Books of Chronicles				http://dbpedia.org/resource/2Ch.
2Cr.	Second Epistle to the Corinthians				http://dbpedia.org/resource/2Cr.
2Jo.	Second Epistle of John				http://dbpedia.org/resource/2Jo.
2Ki.	Books of Kings				http://dbpedia.org/resource/2Ki.
2Pe.	Second Epistle of Peter				http://dbpedia.org/resource/2Pe.
2Sa.	Books of Samuel				http://dbpedia.org/resource/2Sa.
2Th.	Second Epistle to the Thessalonians				http://dbpedia.org/resource/2Th.
2Ti.	Second Epistle to Timothy				http://dbpedia.org/resource/2Ti.
3.	3				http://dbpedia.org/resource/3.
3A.M.	3 A.M.				http://dbpedia.org/resource/3A.M.
3Jo.	Third Epistle of John				http://dbpedia.org/resource/3Jo.
3a.m.	3 A.M.				http://dbpedia.org/resource/3a.m.
404.	404				http://dbpedia.org/resource/404.
5-azacytidine.	Azacitidine				http://dbpedia.org/resource/5-azacytidine.
5bp.	5pb.				http://dbpedia.org/resource/5bp.
A.	A				http://dbpedia.org/resource/A.
A.'.A.'.	A∴A∴				http://dbpedia.org/resource/A.'.A.'.
A..E.K.	AEK (sports club)				http://dbpedia.org/resource/A..E.K.
A.1.	A1 Steak Sauce				http://dbpedia.org/resource/A.1.
A.A.	Michel van der Aa				http://dbpedia.org/resource/Michel_van_der_Aa
A.A.	NZR AA class				http://dbpedia.org/resource/NZR_AA_class
A.A.	AA amyloidosis				http://dbpedia.org/resource/AA_amyloidosis
A.A.	Amalgamated Association of Iron and Steel Workers				http://dbpedia.org/resource/Amalgamated_Association_of_Iron_and_Steel_Workers
A.A.	Pieter van der Aa				http://dbpedia.org/resource/Pieter_van_der_Aa
A.A.	Abampere				http://dbpedia.org/resource/Abampere
A.A.	Cornelis van der Aa				http://dbpedia.org/resource/Cornelis_van_der_Aa
A.A.	Philips van der Aa				http://dbpedia.org/resource/Philips_van_der_Aa
A.A.	Antarctic Impulse Transient Antenna				http://dbpedia.org/resource/Antarctic_Impulse_Transient_Antenna
A.A.	Abraham Jacob van der Aa				http://dbpedia.org/resource/Abraham_Jacob_van_der_Aa
A.A.	Christianus Petrus Eliza Robidé van der Aa				http://dbpedia.org/resource/Christianus_Petrus_Eliza_Robid%C3%A9_van_der_Aa
A.A.	Amplitude of accommodation				http://dbpedia.org/resource/Amplitude_of_accommodation
A.A.	Alcoa				http://dbpedia.org/resource/Alcoa
A.A.	American Association (19th century)				http://dbpedia.org/resource/American_Association_(19th_century)
A.A.	Arachidonic acid				http://dbpedia.org/resource/Arachidonic_acid
A.A.	Architects' Association of Denmark				http://dbpedia.org/resource/Architects'_Association_of_Denmark
A.A.	Alcoholics Anonymous				http://dbpedia.org/resource/Alcoholics_Anonymous
A.A.	Lava				http://dbpedia.org/resource/Lava
A.A.	Amiga Advanced Graphics Architecture				http://dbpedia.org/resource/Amiga_Advanced_Graphics_Architecture
A.A.	Aggregatibacter actinomycetemcomitans				http://dbpedia.org/resource/Aggregatibacter_actinomycetemcomitans
A.A.	Terje Aa				http://dbpedia.org/resource/Terje_Aa
A.A.	Associate degree				http://dbpedia.org/resource/Associate_degree
A.A.	Aa (Big A Little a)				http://dbpedia.org/resource/Aa_(Big_A_Little_a)
