Abbreviation	Definition	Label	Reference Link	owl:sameAS
A.D.	Anno Domini	"Anno Domini"@en	<http://dbpedia.org/resource/Anno_Domini>	<http://el.dbpedia.org/resource/Μ.Χ.>,<http://it.dbpedia.org/resource/Anno_Domini>,<http://pt.dbpedia.org/resource/Anno_Domini>,<http://cs.dbpedia.org/resource/Anno_Domini>,<http://de.dbpedia.org/resource/Anno_Domini>,<http://fr.dbpedia.org/resource/Anno_Domini>,<http://ru.dbpedia.org/resource/От_Рождества_Христова>,<http://es.dbpedia.org/resource/Anno_Domini>,<http://ja.dbpedia.org/resource/西暦>,<http://pl.dbpedia.org/resource/Naszej_ery>,<http://ko.dbpedia.org/resource/서력기원>,<http://nl.dbpedia.org/resource/Anno_Domini>,<http://eu.dbpedia.org/resource/Anno_Domini>,<http://zh.dbpedia.org/resource/西元>,<http://ar.dbpedia.org/resource/أنو_دوميني>,<http://az.dbpedia.org/resource/Miladi_tarix>,<http://be.dbpedia.org/resource/Ад_Нараджэння_Хрыстова>,<http://bg.dbpedia.org/resource/След_Христа>,<http://ca.dbpedia.org/resource/Anno_Domini>,<http://cy.dbpedia.org/resource/Oed_Crist>,<http://da.dbpedia.org/resource/Anno_Domini>,<http://eo.dbpedia.org/resource/A._D.>,<http://et.dbpedia.org/resource/PKr>,<http://fa.dbpedia.org/resource/پس_از_میلاد>,<http://fi.dbpedia.org/resource/Jälkeen_Kristuksen>,<http://ga.dbpedia.org/resource/Anno_Domini>,<http://gd.dbpedia.org/resource/AC>,<http://gl.dbpedia.org/resource/AEC>,<http://he.dbpedia.org/resource/ספירת_הנוצרים>,<http://hi.dbpedia.org/resource/ईसवी>,<http://hy.dbpedia.org/resource/Քրիստոսից_հետո>,<http://id.dbpedia.org/resource/Anno_Domini>,<http://is.dbpedia.org/resource/Anno_Domini>,<http://ku.dbpedia.org/resource/Piştî_zayînê>,<http://la.dbpedia.org/resource/Anno_Domini>,<http://mk.dbpedia.org/resource/Наша_ера>,<http://ml.dbpedia.org/resource/ക്രിസ്ത്വബ്ദം>,<http://ms.dbpedia.org/resource/Tahun_Masihi>,<http://my.dbpedia.org/resource/အေဒီ>,<http://nn.dbpedia.org/resource/Kristi_fødsel>,<http://no.dbpedia.org/resource/Kristi_fødsel>,<http://oc.dbpedia.org/resource/Anno_Domini>,<http://ro.dbpedia.org/resource/E.n.>,<http://sco.dbpedia.org/resource/AD>,<http://sh.dbpedia.org/resource/Anno_Domini>,<http://simple.dbpedia.org/resource/Anno_Domini>,<http://sk.dbpedia.org/resource/Po_Kristovi>,<http://sl.dbpedia.org/resource/Anno_Domini>,<http://sv.dbpedia.org/resource/Efter_Kristus>,<http://sw.dbpedia.org/resource/Baada_ya_Kristo>,<http://ta.dbpedia.org/resource/அனோ_டொமினி>,<http://th.dbpedia.org/resource/คริสต์ศักราช>,<http://tr.dbpedia.org/resource/Anno_Domini>,<http://uk.dbpedia.org/resource/Anno_Domini>,<http://vi.dbpedia.org/resource/Công_Nguyên>,<http://mt.dbpedia.org/resource/WK>,<http://zh_yue.dbpedia.org/resource/公元>
A.I.	Ai (Bible)	"Ai (Bible)"@en	<http://dbpedia.org/resource/Ai_(Bible)>	<http://fr.dbpedia.org/resource/Aï_(Bible)>,<http://pl.dbpedia.org/resource/Aj_(miasto_biblijne)>,<http://pt.dbpedia.org/resource/Ai_(Bíblia)>,<http://de.dbpedia.org/resource/Ai_(Historischer_Stadtstaat)>,<http://es.dbpedia.org/resource/Ai_(Biblia)>,<http://ja.dbpedia.org/resource/アイ_(聖書)>,<http://nl.dbpedia.org/resource/Ai_(stad)>,<http://fa.dbpedia.org/resource/عای>,<http://he.dbpedia.org/resource/העי>,<http://id.dbpedia.org/resource/Ai_(tempat)>,<http://ta.dbpedia.org/resource/ஆயி>
A.I.	Ai (poet)	"Ai (poet)"@en	<http://dbpedia.org/resource/Ai_(poet)>	<http://pl.dbpedia.org/resource/Ai_(poetka)>,<http://de.dbpedia.org/resource/Ai_(Dichterin)>,<http://fi.dbpedia.org/resource/Ai_(runoilija)>
A.I.	Ai Weiwei	"Ai Weiwei"@en	<http://dbpedia.org/resource/Ai_Weiwei>	<http://it.dbpedia.org/resource/Ai_Weiwei>,<http://ja.dbpedia.org/resource/艾未未>,<http://pt.dbpedia.org/resource/Ai_Weiwei>,<http://es.dbpedia.org/resource/Ai_Weiwei>,<http://ko.dbpedia.org/resource/아이웨이웨이>,<http://cs.dbpedia.org/resource/Aj_Wej-wej>,<http://pl.dbpedia.org/resource/Ai_Weiwei>,<http://de.dbpedia.org/resource/Ai_Weiwei>,<http://fr.dbpedia.org/resource/Ai_Weiwei>,<http://ru.dbpedia.org/resource/Ай_Вэйвэй>,<http://nl.dbpedia.org/resource/Ai_Weiwei>,<http://zh.dbpedia.org/resource/艾未未>,<http://ar.dbpedia.org/resource/آي_ويوي>,<http://bcl.dbpedia.org/resource/Ai_Weiwei>,<http://ca.dbpedia.org/resource/Ai_Weiwei>,<http://et.dbpedia.org/resource/Ai_Weiwei>,<http://fa.dbpedia.org/resource/آی_وی‌وی>,<http://fi.dbpedia.org/resource/Ai_Weiwei>,<http://he.dbpedia.org/resource/איי_וייוויי>,<http://hy.dbpedia.org/resource/Այ_Վեյվեյ>,<http://io.dbpedia.org/resource/Ai_Weiwei>,<http://lb.dbpedia.org/resource/Ai_Weiwei>,<http://lv.dbpedia.org/resource/Ai_Veivei>,<http://ml.dbpedia.org/resource/ഐ_വേയ്‌വേയ്>,<http://no.dbpedia.org/resource/Ai_Weiwei>,<http://ro.dbpedia.org/resource/Ai_Weiwei>,<http://sr.dbpedia.org/resource/Ај_Веј-веј>,<http://sv.dbpedia.org/resource/Ai_Weiwei>,<http://ta.dbpedia.org/resource/ஐ_வெய்வே>,<http://th.dbpedia.org/resource/ไอ้_เว่ยเว่ย>,<http://tr.dbpedia.org/resource/Ai_weiwei>,<http://vi.dbpedia.org/resource/Ngải_Vị_Vị>,<http://zh_yue.dbpedia.org/resource/艾未未>
A.I.	Aromatase inhibitor	"Aromatase inhibitor"@en	<http://dbpedia.org/resource/Aromatase_inhibitor>	<http://pl.dbpedia.org/resource/Inhibitory_aromatazy>,<http://fr.dbpedia.org/resource/Inhibiteur_de_l'aromatase>,<http://pt.dbpedia.org/resource/Inibidor_da_aromatase>,<http://es.dbpedia.org/resource/Inhibidor_de_aromatasa>,<http://fi.dbpedia.org/resource/Aromataasi-inhibiittorit>,<http://sl.dbpedia.org/resource/Zaviralci_aromataz>
A.I.	Amelogenesis imperfecta	"Amelogenesis imperfecta"@en	<http://dbpedia.org/resource/Amelogenesis_imperfecta>	<http://el.dbpedia.org/resource/Ατελής_αδαμαντινογένεση>,<http://pl.dbpedia.org/resource/Amelogenesis_imperfecta>,<http://es.dbpedia.org/resource/Amelogenesis_imperfecta>,<http://de.dbpedia.org/resource/Amelogenesis_imperfecta>,<http://pt.dbpedia.org/resource/Amelogênese_imperfeita>,<http://hu.dbpedia.org/resource/Amelogenesis_imperfecta>
A.I.	Love River	"Love River"@en	<http://dbpedia.org/resource/Love_River>	<http://ja.dbpedia.org/resource/愛河>,<http://de.dbpedia.org/resource/Liebes-Fluss>,<http://zh.dbpedia.org/resource/愛河>,<http://zh_min_nan.dbpedia.org/resource/Ài-hô>
A.I.	Aortic insufficiency	"Aortic insufficiency"@en	<http://dbpedia.org/resource/Aortic_insufficiency>	<http://de.dbpedia.org/resource/Aortenklappeninsuffizienz>,<http://es.dbpedia.org/resource/Insuficiencia_aórtica>,<http://fr.dbpedia.org/resource/Insuffisance_aortique>,<http://it.dbpedia.org/resource/Insufficienza_aortica>,<http://pl.dbpedia.org/resource/Niedomykalność_zastawki_aortalnej>,<http://pt.dbpedia.org/resource/Insuficiência_aórtica>,<http://nl.dbpedia.org/resource/Aorta-insufficiëntie>,<http://ar.dbpedia.org/resource/قصور_الأبهري>,<http://az.dbpedia.org/resource/Aortal_çatışmazlıq>,<http://ca.dbpedia.org/resource/Insuficiència_aòrtica>,<http://he.dbpedia.org/resource/אי-ספיקת_מסתם_אבי_העורקים>,<http://sv.dbpedia.org/resource/Aortainsufficiens>,<http://uk.dbpedia.org/resource/Аортальна_недостатність>
A.I.	The American Interest	"The American Interest"@en	<http://dbpedia.org/resource/The_American_Interest>	<http://sv.dbpedia.org/resource/The_American_Interest>
A.I.	Aikanaka (mythology)	"Aikanaka (mythology)"@en	<http://dbpedia.org/resource/Aikanaka_(mythology)>	
